trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear,year,month,season,start_dayofweek,stop_dayofweek,start_weekday,start_workweekday,stop_weekday,stop_workweekday,start_hour,stop_hour,start_wokdayhour,stop_wokdayhour,age
12096,2014-11-10 12:21:00,2014-11-10 12:33:00,SEA00279,692.754,Summit Ave & E Denny Way,2nd Ave & Spring St,CH-01,CBD-06,Member,Male,1978.0,2014,11,Fall,0,0,Monday,Weekday,Monday,Weekday,12,12,Work,Work,36.0
164786,2015-11-06 09:15:00,2015-11-06 09:23:00,SEA00023,489.045,12th Ave & E Denny Way,2nd Ave & Pine St,CH-06,CBD-13,Member,Male,1985.0,2015,11,Fall,4,4,Friday,Weekday,Friday,Weekday,9,9,Work,Work,30.0
40553,2015-02-24 09:37:00,2015-02-24 09:46:00,SEA00315,546.362,Cal Anderson Park / 11th Ave & Pine St,2nd Ave & Pine St,CH-08,CBD-13,Member,Female,1985.0,2015,2,Winter,1,1,Tuesday,Weekday,Tuesday,Weekday,9,9,Work,Work,30.0
118941,2015-07-30 09:34:00,2015-07-30 09:41:00,SEA00493,378.231,12th Ave & E Denny Way,Pine St & 9th Ave,CH-06,SLU-16,Member,Male,1982.0,2015,7,Summer,3,3,Thursday,Weekday,Thursday,Weekday,9,9,Work,Work,33.0
69087,2015-05-06 18:16:00,2015-05-06 18:32:00,SEA00348,984.301,Lake Union Park / Valley St & Boren Ave N,Eastlake Ave E & E Allison St,SLU-17,EL-05,Member,Female,1967.0,2015,5,Spring,2,2,Wednesday,Weekday,Wednesday,Weekday,18,18,Evening,Evening,48.0
37024,2015-02-14 13:11:00,2015-02-14 14:01:00,SEA00139,2985.414,Westlake Ave & 6th Ave,Westlake Ave & 6th Ave,SLU-15,SLU-15,Short-Term Pass Holder,,,2015,2,Winter,5,5,Saturday,Weekend,Saturday,Weekend,13,14,Work,Work,
50096,2015-03-24 21:37:00,2015-03-24 21:44:00,SEA00097,427.82,Dexter Ave & Denny Way,Key Arena / 1st Ave N & Harrison St,SLU-18,SLU-19,Member,Female,1984.0,2015,3,Spring,1,1,Tuesday,Weekday,Tuesday,Weekday,21,21,Night,Night,31.0
154690,2015-10-06 16:14:00,2015-10-06 16:22:00,SEA00447,493.733,E Pine St & 16th Ave,2nd Ave & Pine St,CH-07,CBD-13,Member,Female,1990.0,2015,10,Fall,1,1,Tuesday,Weekday,Tuesday,Weekday,16,16,Work,Work,25.0
57014,2015-04-12 00:10:00,2015-04-12 00:18:00,SEA00232,521.57,REI / Yale Ave N & John St,Pine St & 9th Ave,SLU-01,SLU-16,Member,Male,1987.0,2015,4,Spring,6,6,Sunday,Weekend,Sunday,Weekend,0,0,Morning,Morning,28.0
133011,2015-08-21 19:56:00,2015-08-21 20:22:00,SEA00062,1563.272,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,,,2015,8,Summer,4,4,Friday,Weekday,Friday,Weekday,19,20,Evening,Evening,
177320,2016-01-10 16:52:00,2016-01-10 17:05:00,SEA00219,755.804,City Hall / 4th Ave & James St,2nd Ave & Pine St,CBD-07,CBD-13,Short-Term Pass Holder,,,2016,1,Winter,6,6,Sunday,Weekend,Sunday,Weekend,16,17,Work,Work,
128609,2015-08-14 11:38:00,2015-08-14 11:42:00,SEA00270,240.912,Dexter Ave N & Aloha St,Republican St & Westlake Ave N,SLU-02,SLU-04,Member,Female,1980.0,2015,8,Summer,4,4,Friday,Weekday,Friday,Weekday,11,11,Work,Work,35.0
242857,2016-08-03 19:26:00,2016-08-03 19:30:00,SEA00205,211.963,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,Lake Union Park / Valley St & Boren Ave N,EL-01,SLU-17,Short-Term Pass Holder,,,2016,8,Summer,2,2,Wednesday,Weekday,Wednesday,Weekday,19,19,Evening,Evening,
21898,2014-12-16 08:19:00,2014-12-16 09:08:00,SEA00495,2941.956,6th Ave & Blanchard St,6th Ave & Blanchard St,BT-04,BT-04,Short-Term Pass Holder,,,2014,12,Winter,1,1,Tuesday,Weekday,Tuesday,Weekday,8,9,Morning,Work,
23668,2014-12-24 13:22:00,2014-12-24 13:32:00,SEA00291,620.311,E Harrison St & Broadway Ave E,Harvard Ave & E Pine St,CH-02,CH-09,Member,Female,1981.0,2014,12,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,13,13,Work,Work,33.0
86137,2015-06-07 09:10:00,2015-06-07 09:22:00,SEA00079,699.525,2nd Ave & Vine St,Occidental Park / Occidental Ave S & S Washington St,BT-03,PS-04,Member,Male,1977.0,2015,6,Summer,6,6,Sunday,Weekend,Sunday,Weekend,9,9,Work,Work,38.0
36976,2015-02-14 12:17:00,2015-02-14 12:39:00,SEA00343,1324.96,2nd Ave & Spring St,Pier 69 / Alaskan Way & Clay St,CBD-06,WF-01,Short-Term Pass Holder,,,2015,2,Winter,5,5,Saturday,Weekend,Saturday,Weekend,12,12,Work,Work,
226742,2016-06-29 08:51:00,2016-06-29 08:56:00,SEA00308,290.868,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Member,Male,1988.0,2016,6,Summer,2,2,Wednesday,Weekday,Wednesday,Weekday,8,8,Morning,Morning,28.0
79412,2015-05-26 09:33:00,2015-05-26 10:00:00,SEA00281,1615.344,3rd Ave & Broad St,Pier 69 / Alaskan Way & Clay St,BT-01,WF-01,Short-Term Pass Holder,,,2015,5,Spring,1,1,Tuesday,Weekday,Tuesday,Weekday,9,10,Work,Work,
48616,2015-03-19 21:33:00,2015-03-19 22:01:00,SEA00210,1678.98,2nd Ave & Blanchard St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,BT-05,PS-05,Short-Term Pass Holder,,,2015,3,Spring,3,3,Thursday,Weekday,Thursday,Weekday,21,22,Night,Night,
34740,2015-02-07 11:56:00,2015-02-07 12:33:00,SEA00274,2180.65,Republican St & Westlake Ave N,Lake Union Park / Valley St & Boren Ave N,SLU-04,SLU-17,Short-Term Pass Holder,,,2015,2,Winter,5,5,Saturday,Weekend,Saturday,Weekend,11,12,Work,Work,
57200,2015-04-12 15:55:00,2015-04-12 16:09:00,SEA00085,836.341,E Harrison St & Broadway Ave E,Lake Union Park / Valley St & Boren Ave N,CH-02,SLU-17,Short-Term Pass Holder,,,2015,4,Spring,6,6,Sunday,Weekend,Sunday,Weekend,15,16,Work,Work,
83207,2015-06-01 16:54:00,2015-06-01 17:02:00,SEA00129,480.062,2nd Ave & Spring St,2nd Ave & Blanchard St,CBD-06,BT-05,Member,Male,1980.0,2015,6,Summer,0,0,Monday,Weekday,Monday,Weekday,16,17,Work,Work,35.0
54794,2015-04-06 09:47:00,2015-04-06 09:57:00,SEA00466,612.788,Dexter Ave & Denny Way,E Blaine St & Fairview Ave E,SLU-18,EL-03,Member,Male,1980.0,2015,4,Spring,0,0,Monday,Weekday,Monday,Weekday,9,9,Work,Work,35.0
32566,2015-01-29 10:53:00,2015-01-29 11:00:00,SEA00297,417.566,E Pine St & 16th Ave,E Harrison St & Broadway Ave E,CH-07,CH-02,Short-Term Pass Holder,,,2015,1,Winter,3,3,Thursday,Weekday,Thursday,Weekday,10,11,Work,Work,
185036,2016-02-20 17:10:00,2016-02-20 17:25:00,SEA00268,949.73,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,,,2016,2,Winter,5,5,Saturday,Weekend,Saturday,Weekend,17,17,Work,Work,
60825,2015-04-19 17:19:00,2015-04-19 17:30:00,SEA00203,628.299,7th Ave & Union St,2nd Ave & Vine St,CBD-03,BT-03,Member,Male,1989.0,2015,4,Spring,6,6,Sunday,Weekend,Sunday,Weekend,17,17,Work,Work,26.0
44395,2015-03-07 17:06:00,2015-03-07 18:44:00,SEA00442,5879.183,Burke Museum / E Stevens Way NE & Memorial Way NE,Pier 69 / Alaskan Way & Clay St,UW-02,WF-01,Short-Term Pass Holder,,,2015,3,Spring,5,5,Saturday,Weekend,Saturday,Weekend,17,18,Work,Evening,
8049,2014-10-31 21:00:00,2014-10-31 21:11:00,SEA00092,675.306,Bellevue Ave & E Pine St,15th Ave E & E Thomas St,CH-12,CH-05,Member,Male,1986.0,2014,10,Fall,4,4,Friday,Weekday,Friday,Weekday,21,21,Night,Night,28.0
43894,2015-03-06 16:40:00,2015-03-06 16:51:00,SEA00382,648.697,Occidental Park / Occidental Ave S & S Washington St,Westlake Ave & 6th Ave,PS-04,SLU-15,Member,Male,1974.0,2015,3,Spring,4,4,Friday,Weekday,Friday,Weekday,16,16,Work,Work,41.0
181545,2016-02-03 09:43:00,2016-02-03 09:52:00,SEA00151,545.487,E Pine St & 16th Ave,6th Ave & Blanchard St,CH-07,BT-04,Member,Male,1993.0,2016,2,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,9,9,Work,Work,23.0
205490,2016-05-03 17:32:00,2016-05-03 17:44:00,SEA00057,704.394,NE Pacific St/UW Medical Center,Children's Hospital / Sandpoint Way NE & 40th Ave NE,UW-11,DPD-03,Member,Male,1976.0,2016,5,Spring,1,1,Tuesday,Weekday,Tuesday,Weekday,17,17,Work,Work,40.0
171854,2015-12-09 09:04:00,2015-12-09 09:08:00,SEA00090,232.245,15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St,CH-05,CH-08,Member,Male,1981.0,2015,12,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,9,9,Work,Work,34.0
182964,2016-02-10 07:09:00,2016-02-10 07:13:00,SEA00080,286.636,E Pine St & 16th Ave,Pine St & 9th Ave,CH-07,SLU-16,Member,Male,1985.0,2016,2,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,7,7,Morning,Morning,31.0
218738,2016-06-09 07:09:00,2016-06-09 07:20:00,SEA00026,684.763,E Pine St & 16th Ave,1st Ave & Marion St,CH-07,CBD-05,Member,Male,1985.0,2016,6,Summer,3,3,Thursday,Weekday,Thursday,Weekday,7,7,Morning,Morning,31.0
27808,2015-01-13 07:49:00,2015-01-13 07:56:00,SEA00386,397.3,2nd Ave & Vine St,Republican St & Westlake Ave N,BT-03,SLU-04,Member,Male,1987.0,2015,1,Winter,1,1,Tuesday,Weekday,Tuesday,Weekday,7,7,Morning,Morning,28.0
180977,2016-02-01 07:52:00,2016-02-01 08:11:00,SEA00223,1125.84,Dexter Ave N & Aloha St,1st Ave & Marion St,SLU-02,CBD-05,Short-Term Pass Holder,,,2016,2,Winter,0,0,Monday,Weekday,Monday,Weekday,7,8,Morning,Morning,
55218,2015-04-07 11:54:00,2015-04-07 11:58:00,SEA00169,233.887,E Pine St & 16th Ave,Harvard Ave & E Pine St,CH-07,CH-09,Member,Other,1978.0,2015,4,Spring,1,1,Tuesday,Weekday,Tuesday,Weekday,11,11,Work,Work,37.0
5359,2014-10-24 08:49:00,2014-10-24 09:05:00,SEA00211,928.495,E Pine St & 16th Ave,6th Ave S & S King St,CH-07,ID-04,Member,Female,1985.0,2014,10,Fall,4,4,Friday,Weekday,Friday,Weekday,8,9,Morning,Work,29.0
178980,2016-01-20 13:54:00,2016-01-20 14:00:00,SEA00192,356.075,12th Ave & E Mercer St,Seattle University / E Columbia St & 12th Ave,CH-15,FH-04,Member,Female,1993.0,2016,1,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,13,14,Work,Work,23.0
73371,2015-05-14 17:34:00,2015-05-14 18:02:00,SEA00399,1637.722,Dexter Ave & Denny Way,12th Ave & NE Campus Pkwy,SLU-18,UD-04,Short-Term Pass Holder,,,2015,5,Spring,3,3,Thursday,Weekday,Thursday,Weekday,17,18,Work,Evening,
73169,2015-05-14 10:51:00,2015-05-14 11:54:00,SEA00411,3794.911,Dexter Ave & Denny Way,15th Ave NE & NE 40th St,SLU-18,UW-04,Short-Term Pass Holder,,,2015,5,Spring,3,3,Thursday,Weekday,Thursday,Weekday,10,11,Work,Work,
155887,2015-10-09 22:43:00,2015-10-09 22:50:00,SEA00471,392.678,2nd Ave & Vine St,Key Arena / 1st Ave N & Harrison St,BT-03,SLU-19,Member,Male,1988.0,2015,10,Fall,4,4,Friday,Weekday,Friday,Weekday,22,22,Night,Night,27.0
212379,2016-05-22 17:47:00,2016-05-22 17:49:00,SEA00451,112.67,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,,,2016,5,Spring,6,6,Sunday,Weekend,Sunday,Weekend,17,17,Work,Work,
29230,2015-01-19 07:55:00,2015-01-19 08:00:00,SEA00300,286.516,Westlake Ave & 6th Ave,Republican St & Westlake Ave N,SLU-15,SLU-04,Member,Male,1978.0,2015,1,Winter,0,0,Monday,Weekday,Monday,Weekday,7,8,Morning,Morning,37.0
24402,2014-12-28 11:03:00,2014-12-28 11:15:00,SEA00172,698.079,Westlake Ave & 6th Ave,Lake Union Park / Valley St & Boren Ave N,SLU-15,SLU-17,Member,Female,1959.0,2014,12,Winter,6,6,Sunday,Weekend,Sunday,Weekend,11,11,Work,Work,55.0
55298,2015-04-07 16:45:00,2015-04-07 16:56:00,SEA00176,665.113,2nd Ave & Blanchard St,Summit Ave & E Denny Way,BT-05,CH-01,Member,Male,1982.0,2015,4,Spring,1,1,Tuesday,Weekday,Tuesday,Weekday,16,16,Work,Work,33.0
1406,2014-10-14 19:06:00,2014-10-14 19:25:00,SEA00083,1163.317,9th Ave N & Mercer St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,DPD-01,PS-05,Short-Term Pass Holder,,,2014,10,Fall,1,1,Tuesday,Weekday,Tuesday,Weekday,19,19,Evening,Evening,
46355,2015-03-12 17:17:00,2015-03-12 17:21:00,SEA00365,208.173,E Pine St & 16th Ave,15th Ave E & E Thomas St,CH-07,CH-05,Member,Female,1986.0,2015,3,Spring,3,3,Thursday,Weekday,Thursday,Weekday,17,17,Work,Work,29.0
26895,2015-01-09 06:54:00,2015-01-09 06:59:00,SEA00148,331.324,2nd Ave & Blanchard St,Westlake Ave & 6th Ave,BT-05,SLU-15,Member,Male,1987.0,2015,1,Winter,4,4,Friday,Weekday,Friday,Weekday,6,6,Morning,Morning,28.0
23642,2014-12-24 10:29:00,2014-12-24 10:35:00,SEA00080,381.42,E Pine St & 16th Ave,Pine St & 9th Ave,CH-07,SLU-16,Member,Male,1978.0,2014,12,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,10,10,Work,Work,36.0
145191,2015-09-16 08:56:00,2015-09-16 08:59:00,SEA00185,140.379,Cal Anderson Park / 11th Ave & Pine St,Bellevue Ave & E Pine St,CH-08,CH-12,Member,Male,1991.0,2015,9,Fall,2,2,Wednesday,Weekday,Wednesday,Weekday,8,8,Morning,Morning,24.0
233485,2016-07-14 01:04:00,2016-07-14 01:22:00,SEA00256,1055.462,2nd Ave & Vine St,2nd Ave & Blanchard St,BT-03,BT-05,Short-Term Pass Holder,,,2016,7,Summer,3,3,Thursday,Weekday,Thursday,Weekday,1,1,Morning,Morning,
25072,2014-12-31 19:22:00,2014-12-31 19:34:00,SEA00088,718.023,Bellevue Ave & E Pine St,Dexter Ave N & Aloha St,CH-12,SLU-02,Member,Male,1986.0,2014,12,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,19,19,Evening,Evening,28.0
63991,2015-04-25 11:04:00,2015-04-25 11:26:00,SEA00054,1327.973,Pier 69 / Alaskan Way & Clay St,Pier 69 / Alaskan Way & Clay St,WF-01,WF-01,Short-Term Pass Holder,,,2015,4,Spring,5,5,Saturday,Weekend,Saturday,Weekend,11,11,Work,Work,
175947,2016-01-04 18:21:00,2016-01-04 18:33:00,SEA00185,684.426,E Harrison St & Broadway Ave E,12th Ave & E Yesler Way,CH-02,CD-01,Member,Female,1982.0,2016,1,Winter,0,0,Monday,Weekday,Monday,Weekday,18,18,Evening,Evening,34.0
70220,2015-05-08 17:05:00,2015-05-08 17:27:00,SEA00044,1354.292,Cal Anderson Park / 11th Ave & Pine St,REI / Yale Ave N & John St,CH-08,SLU-01,Short-Term Pass Holder,,,2015,5,Spring,4,4,Friday,Weekday,Friday,Weekday,17,17,Work,Work,
158778,2015-10-17 15:17:00,2015-10-17 15:33:00,SEA00392,1012.967,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,15th Ave NE & NE 40th St,UD-01,UW-04,Short-Term Pass Holder,,,2015,10,Fall,5,5,Saturday,Weekend,Saturday,Weekend,15,15,Work,Work,
146132,2015-09-18 13:38:00,2015-09-18 13:48:00,SEA00044,628.623,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,,,2015,9,Fall,4,4,Friday,Weekday,Friday,Weekday,13,13,Work,Work,
128431,2015-08-14 05:48:00,2015-08-14 05:52:00,SEA00179,253.195,15th Ave E & E Thomas St,Cal Anderson Park / 11th Ave & Pine St,CH-05,CH-08,Member,Male,1981.0,2015,8,Summer,4,4,Friday,Weekday,Friday,Weekday,5,5,Morning,Morning,34.0
231173,2016-07-08 18:03:00,2016-07-08 18:40:00,SEA00047,2253.458,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Short-Term Pass Holder,,,2016,7,Summer,4,4,Friday,Weekday,Friday,Weekday,18,18,Evening,Evening,
24240,2014-12-27 10:30:00,2014-12-27 10:42:00,SEA00362,755.406,2nd Ave & Blanchard St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,BT-05,PS-05,Short-Term Pass Holder,,,2014,12,Winter,5,5,Saturday,Weekend,Saturday,Weekend,10,10,Work,Work,
194822,2016-04-01 18:18:00,2016-04-01 18:41:00,SEA00450,1371.565,15th Ave E & E Thomas St,E Pine St & 16th Ave,CH-05,CH-07,Member,Male,1970.0,2016,4,Spring,4,4,Friday,Weekday,Friday,Weekday,18,18,Evening,Evening,46.0
100318,2015-07-01 16:34:00,2015-07-01 16:43:00,SEA00237,549.968,PATH / 9th Ave & Westlake Ave,2nd Ave & Blanchard St,SLU-07,BT-05,Member,Male,1976.0,2015,7,Summer,2,2,Wednesday,Weekday,Wednesday,Weekday,16,16,Work,Work,39.0
85172,2015-06-05 13:21:00,2015-06-05 13:54:00,SEA00167,2002.581,Frye Art Museum / Terry Ave & Columbia St,12th Ave & NE Campus Pkwy,FH-01,UD-04,Member,Female,1976.0,2015,6,Summer,4,4,Friday,Weekday,Friday,Weekday,13,13,Work,Work,39.0
4464,2014-10-21 11:37:00,2014-10-21 11:52:00,SEA00091,918.453,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,UW McCarty Hall / Whitman Ct,UW-10,UW-01,Short-Term Pass Holder,,,2014,10,Fall,1,1,Tuesday,Weekday,Tuesday,Weekday,11,11,Work,Work,
103602,2015-07-06 13:52:00,2015-07-06 14:22:00,SEA00433,1824.328,2nd Ave & Pine St,Pier 69 / Alaskan Way & Clay St,CBD-13,WF-01,Short-Term Pass Holder,,,2015,7,Summer,0,0,Monday,Weekday,Monday,Weekday,13,14,Work,Work,
235625,2016-07-18 16:43:00,2016-07-18 16:58:00,SEA00007,863.457,Occidental Park / Occidental Ave S & S Washington St,PATH / 9th Ave & Westlake Ave,PS-04,SLU-07,Member,Female,1987.0,2016,7,Summer,0,0,Monday,Weekday,Monday,Weekday,16,16,Work,Work,29.0
117271,2015-07-27 18:17:00,2015-07-27 18:23:00,SEA00312,383.938,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Member,Female,1950.0,2015,7,Summer,0,0,Monday,Weekday,Monday,Weekday,18,18,Evening,Evening,65.0
35754,2015-02-11 07:47:00,2015-02-11 07:53:00,SEA00291,368.909,Cal Anderson Park / 11th Ave & Pine St,Frye Art Museum / Terry Ave & Columbia St,CH-08,FH-01,Member,Male,1986.0,2015,2,Winter,2,2,Wednesday,Weekday,Wednesday,Weekday,7,7,Morning,Morning,29.0
127367,2015-08-12 13:04:00,2015-08-12 13:11:00,SEA00262,385.776,E Harrison St & Broadway Ave E,PATH / 9th Ave & Westlake Ave,CH-02,SLU-07,Member,Male,1989.0,2015,8,Summer,2,2,Wednesday,Weekday,Wednesday,Weekday,13,13,Work,Work,26.0
122883,2015-08-05 11:51:00,2015-08-05 12:02:00,SEA00136,670.962,12th Ave & NE Campus Pkwy,UW Engineering Library / E Stevens Way NE & Jefferson Rd,UD-04,UW-06,Member,Other,1992.0,2015,8,Summer,2,2,Wednesday,Weekday,Wednesday,Weekday,11,12,Work,Work,23.0
94445,2015-06-20 20:35:00,2015-06-20 20:48:00,SEA00339,796.174,City Hall / 4th Ave & James St,2nd Ave & Spring St,CBD-07,CBD-06,Short-Term Pass Holder,,,2015,6,Summer,5,5,Saturday,Weekend,Saturday,Weekend,20,20,Evening,Evening,
73464,2015-05-14 19:03:00,2015-05-14 19:30:00,SEA00462,1629.827,Republican St & Westlake Ave N,15th Ave NE & NE 40th St,SLU-04,UW-04,Member,Female,1987.0,2015,5,Spring,3,3,Thursday,Weekday,Thursday,Weekday,19,19,Evening,Evening,28.0
115918,2015-07-25 12:52:00,2015-07-25 13:32:00,SEA00145,2428.103,Pier 69 / Alaskan Way & Clay St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,WF-01,WF-04,Short-Term Pass Holder,,,2015,7,Summer,5,5,Saturday,Weekend,Saturday,Weekend,12,13,Work,Work,
37854,2015-02-16 11:02:00,2015-02-16 11:14:00,SEA00149,778.8,12th Ave & E Mercer St,Eastlake Ave E & E Allison St,CH-15,EL-05,Short-Term Pass Holder,,,2015,2,Winter,0,0,Monday,Weekday,Monday,Weekday,11,11,Work,Work,
203297,2016-04-28 22:09:00,2016-04-28 22:25:00,SEA00051,945.741,Broadway and E Denny Way,Key Arena / 1st Ave N & Harrison St,CH-16,SLU-19,Member,Male,1988.0,2016,4,Spring,3,3,Thursday,Weekday,Thursday,Weekday,22,22,Night,Night,28.0
47927,2015-03-18 08:58:00,2015-03-18 09:04:00,SEA00494,319.018,9th Ave N & Mercer St,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,DPD-01,EL-01,Member,Female,1992.0,2015,3,Spring,2,2,Wednesday,Weekday,Wednesday,Weekday,8,9,Morning,Work,23.0
18457,2014-12-02 11:07:00,2014-12-02 11:09:00,SEA00299,155.373,E Pine St & 16th Ave,Cal Anderson Park / 11th Ave & Pine St,CH-07,CH-08,Member,Male,1986.0,2014,12,Winter,1,1,Tuesday,Weekday,Tuesday,Weekday,11,11,Work,Work,28.0
253846,2016-08-28 12:26:00,2016-08-28 12:59:00,SEA00361,1967.722,Key Arena / 1st Ave N & Harrison St,Lake Union Park / Valley St & Boren Ave N,SLU-19,SLU-17,Short-Term Pass Holder,,,2016,8,Summer,6,6,Sunday,Weekend,Sunday,Weekend,12,12,Work,Work,
248298,2016-08-15 16:13:00,2016-08-15 16:41:00,SEA00131,1678.918,2nd Ave & Vine St,Key Arena / 1st Ave N & Harrison St,BT-03,SLU-19,Member,Male,1970.0,2016,8,Summer,0,0,Monday,Weekday,Monday,Weekday,16,16,Work,Work,46.0
70566,2015-05-09 10:33:00,2015-05-09 11:03:00,SEA00321,1778.213,Key Arena / 1st Ave N & Harrison St,Westlake Ave & 6th Ave,SLU-19,SLU-15,Short-Term Pass Holder,,,2015,5,Spring,5,5,Saturday,Weekend,Saturday,Weekend,10,11,Work,Work,
13402,2014-11-13 18:10:00,2014-11-13 18:15:00,SEA00073,255.793,12th Ave & NE Campus Pkwy,Eastlake Ave E & E Allison St,UD-04,EL-05,Member,Female,1989.0,2014,11,Fall,3,3,Thursday,Weekday,Thursday,Weekday,18,18,Evening,Evening,25.0
233882,2016-07-14 17:45:00,2016-07-14 17:51:00,SEA00224,335.933,Westlake Ave & 6th Ave,7th Ave & Union St,SLU-15,CBD-03,Short-Term Pass Holder,,,2016,7,Summer,3,3,Thursday,Weekday,Thursday,Weekday,17,17,Work,Work,
237884,2016-07-23 22:15:00,2016-07-23 22:20:00,SEA00234,283.226,Westlake Ave & 6th Ave,1st Ave & Marion St,SLU-15,CBD-05,Member,Male,1990.0,2016,7,Summer,5,5,Saturday,Weekend,Saturday,Weekend,22,22,Night,Night,26.0
11138,2014-11-08 12:11:00,2014-11-08 12:38:00,SEA00082,1587.028,2nd Ave & Spring St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,CBD-06,WF-04,Short-Term Pass Holder,,,2014,11,Fall,5,5,Saturday,Weekend,Saturday,Weekend,12,12,Work,Work,
